"Cod_Mun","Municipio","UF","Regiao"
"1100106","Guajará-Mirim","RO","NORTE"
"1100379","Alto Alegre dos Parecis","RO","NORTE"
"1100205","Porto Velho","RO","NORTE"
"1100452","Buritis","RO","NORTE"
"1100122","Ji-Paraná","RO","NORTE"
"1100924","Chupinguaia","RO","NORTE"
"1100023","Ariquemes","RO","NORTE"
"1100940","Cujubim","RO","NORTE"
"1100049","Cacoal","RO","NORTE"
"1101435","Nova União","RO","NORTE"
"1100189","Pimenta Bueno","RO","NORTE"
"1101450","Parecis","RO","NORTE"
"1100304","Vilhena","RO","NORTE"
"1101468","Pimenteiras do Oeste","RO","NORTE"
"1100114","Jaru","RO","NORTE"
"1101476","Primavera de Rondônia","RO","NORTE"
"1100155","Ouro Preto do Oeste","RO","NORTE"
"1101484","São Felipe D'Oeste","RO","NORTE"
"1100254","Presidente Médici","RO","NORTE"
"1101492","São Francisco do Guaporé","RO","NORTE"
"1100080","Costa Marques","RO","NORTE"
"1101559","Teixeirópolis","RO","NORTE"
"1100064","Colorado do Oeste","RO","NORTE"
"1101757","Vale do Anari","RO","NORTE"
"1100098","Espigão D'Oeste","RO","NORTE"
"1400027","Amajari","RR","NORTE"
"1100056","Cerejeiras","RO","NORTE"
"1400175","Cantá","RR","NORTE"
"1100288","Rolim de Moura","RO","NORTE"
"1400233","Caroebe","RR","NORTE"
"5204557","Caldazinha","GO","CENTRO-OESTE"
"1400282","Iracema","RR","NORTE"
"1100015","Alta Floresta D'Oeste","RO","NORTE"
"1400456","Pacaraima","RR","NORTE"
"1100346","Alvorada D'Oeste","RO","NORTE"
"1400472","Rorainópolis","RR","NORTE"
"1100031","Cabixi","RO","NORTE"
"1400704","Uiramutã","RR","NORTE"
"1100130","Machadinho D'Oeste","RO","NORTE"
"1500859","Anapu","PA","NORTE"
"1100148","Nova Brasilândia D'Oeste","RO","NORTE"
"1501253","Bannach","PA","NORTE"
"1100296","Santa Luzia D'Oeste","RO","NORTE"
"1501451","Belterra","PA","NORTE"
"1100320","São Miguel do Guaporé","RO","NORTE"
"1501956","Cachoeira do Piriá","PA","NORTE"
"1100338","Nova Mamoré","RO","NORTE"
"1502152","Canaã dos Carajás","PA","NORTE"
"5212055","Jesúpolis","GO","CENTRO-OESTE"
"1502855","Curuá","PA","NORTE"
"5218391","Professor Jamil","GO","CENTRO-OESTE"
"1503044","Floresta do Araguaia","PA","NORTE"
"5219738","Santo Antônio de Goiás","GO","CENTRO-OESTE"
"1504422","Marituba","PA","NORTE"
"5205513","Cocalzinho de Goiás","GO","CENTRO-OESTE"
"1504976","Nova Ipixuna","PA","NORTE"
"5221197","Terezópolis de Goiás","GO","CENTRO-OESTE"
"1505635","Piçarra","PA","NORTE"
"5221577","Uirapuru","GO","CENTRO-OESTE"
"1505650","Placas","PA","NORTE"
"5203962","Buritinópolis","GO","CENTRO-OESTE"
"1506112","Quatipuru","PA","NORTE"
"5203939","Buriti de Goiás","GO","CENTRO-OESTE"
"1507466","São João da Ponta","PA","NORTE"
"5209291","Guaraíta","GO","CENTRO-OESTE"
"1507755","Sapucaia","PA","NORTE"
"5222203","Vila Boa","GO","CENTRO-OESTE"
"1508035","Tracuateua","PA","NORTE"
"5209937","Inaciolândia","GO","CENTRO-OESTE"
"1600808","Vitória do Jari","AP","NORTE"
"5201454","Aparecida do Rio Doce","GO","CENTRO-OESTE"
"1700301","Aguiarnópolis","TO","NORTE"
"5205471","Chapadão do Céu","GO","CENTRO-OESTE"
"1703057","Bandeirantes do Tocantins","TO","NORTE"
"5216452","Perolândia","GO","CENTRO-OESTE"
"1703073","Barra do Ouro","TO","NORTE"
"5205497","Cidade Ocidental","GO","CENTRO-OESTE"
"1704600","Chapada de Areia","TO","NORTE"
"5213772","Montividiu do Norte","GO","CENTRO-OESTE"
"1705102","Chapada da Natividade","TO","NORTE"
"5205059","Castelândia","GO","CENTRO-OESTE"
"1706258","Crixás do Tocantins","TO","NORTE"
"5219712","Santo Antônio da Barra","GO","CENTRO-OESTE"
"1709807","Ipueiras","TO","NORTE"
"5200555","Alto Horizonte","GO","CENTRO-OESTE"
"1712157","Lavandeira","TO","NORTE"
"5214879","Nova Iguaçu de Goiás","GO","CENTRO-OESTE"
"1712454","Luzinópolis","TO","NORTE"
"5103379","Cotriguaçu","MT","CENTRO-OESTE"
"1713700","Monte Santo do Tocantins","TO","NORTE"
"5106455","Planalto da Serra","MT","CENTRO-OESTE"
"1715507","Oliveira de Fátima","TO","NORTE"
"5107404","São Pedro da Cipa","MT","CENTRO-OESTE"
"1718451","Pugmil","TO","NORTE"
"5106653","Pontal do Araguaia","MT","CENTRO-OESTE"
"1718899","Santa Rita do Tocantins","TO","NORTE"
"5107065","Querência","MT","CENTRO-OESTE"
"1720002","Santa Terezinha do Tocantins","TO","NORTE"
"5107198","Ribeirãozinho","MT","CENTRO-OESTE"
"1720978","Talismã","TO","NORTE"
"5106851","Porto Estrela","MT","CENTRO-OESTE"
"1721257","Tupirama","TO","NORTE"
"5108857","Nova Marilândia","MT","CENTRO-OESTE"
"2100154","Água Doce do Maranhão","MA","NORDESTE"
"1200104","Brasiléia","AC","NORTE"
"2100436","Alto Alegre do Maranhão","MA","NORDESTE"
"1200203","Cruzeiro do Sul","AC","NORTE"
"2100477","Alto Alegre do Pindaré","MA","NORDESTE"
"1200336","Mâncio Lima","AC","NORTE"
"2100550","Amapá do Maranhão","MA","NORDESTE"
"5108907","Nova Maringá","MT","CENTRO-OESTE"
"2100832","Apicum-Açu","MA","NORDESTE"
"1200302","Feijó","AC","NORTE"
"2100873","Araguanã","MA","NORDESTE"
"5107263","Santo Afonso","MT","CENTRO-OESTE"
"2101251","Bacabeira","MA","NORDESTE"
"5106158","Nova Bandeirantes","MT","CENTRO-OESTE"
"2101350","Bacurituba","MA","NORDESTE"
